feature,importance,component
fed_funds_rate_lag2,0.29815623564524885,nii
fed_funds_rate,0.2561553956559193,nii
gdp_x_hpi,0.0973484451291419,nii
unemployment_lag1,0.0508858762614802,nii
hpi_growth_ma4,0.04661001260200136,nii
fed_funds_rate_ma4,0.03574726932959699,nii
unemployment_ma4,0.0259412970910706,nii
unemployment_lag2,0.02161177776880607,nii
hpi_growth_lag2,0.019083848246692695,nii
gdp_growth_lag2,0.016488538558524692,nii
vix_lag1,0.0155125111998678,nii
vix_ma4,0.014902212627484984,nii
gdp_growth_ma4,0.014236423426363541,nii
unemployment_chg,0.009688935021406593,nii
gdp_growth_lag1,0.009453626477653885,nii
fed_funds_rate_lag1,0.008755924176990343,nii
gdp_growth_chg,0.008599645356382407,nii
hpi_growth,0.00842778142640943,nii
unemployment,0.007973647787242771,nii
rate_x_unemp,0.005614993182019032,nii
hpi_growth_chg,0.004957588497526538,nii
gdp_growth,0.004847287037653923,nii
vix_lag2,0.004550601230835593,nii
hpi_growth_lag1,0.004423116866923657,nii
fed_funds_rate_chg,0.0041399137598266186,nii
vix_chg,0.0031867490443691494,nii
vix,0.0027003465925609952,nii
vix,0.5250372359681863,nonii
hpi_growth,0.06839548449514864,nonii
fed_funds_rate_chg,0.04671554537644408,nonii
hpi_growth_chg,0.044017048356716916,nonii
gdp_growth_lag1,0.03764358652535926,nonii
unemployment,0.03191167357052077,nonii
gdp_x_hpi,0.029910898446409342,nonii
unemployment_chg,0.026574811855446346,nonii
gdp_growth_ma4,0.020601423142124948,nonii
hpi_growth_lag2,0.02037751267729833,nonii
gdp_growth_lag2,0.016076444627362036,nonii
fed_funds_rate_lag2,0.015697096961249095,nonii
fed_funds_rate_ma4,0.015175641998278545,nonii
rate_x_unemp,0.014269819872956988,nonii
vix_ma4,0.012641929316156769,nonii
gdp_growth_chg,0.012203290701283892,nonii
vix_chg,0.011641682349702056,nonii
fed_funds_rate_lag1,0.009898744027449825,nonii
gdp_growth,0.008195623134833243,nonii
hpi_growth_lag1,0.006858941985769176,nonii
vix_lag1,0.005133368067550129,nonii
vix_lag2,0.004822859383763924,nonii
unemployment_lag2,0.004472730636416552,nonii
unemployment_ma4,0.003663437093643637,nonii
unemployment_lag1,0.0036372717680435815,nonii
fed_funds_rate,0.002714139389597352,nonii
hpi_growth_ma4,0.0017117582722883991,nonii
hpi_growth_lag2,0.2550639668768748,nie
hpi_growth_ma4,0.22180276475549449,nie
hpi_growth,0.06109072702029331,nie
fed_funds_rate_lag2,0.05061959393898749,nie
fed_funds_rate_lag1,0.04835685748484956,nie
rate_x_unemp,0.0479029488204369,nie
fed_funds_rate,0.03867616757505496,nie
gdp_x_hpi,0.03458573334193077,nie
gdp_growth_lag1,0.0279185466293733,nie
unemployment_ma4,0.019689804744886012,nie
hpi_growth_chg,0.018381373012700562,nie
vix_lag1,0.017952755924193143,nie
vix_lag2,0.01686362742663812,nie
unemployment_lag2,0.016772238641713115,nie
unemployment_chg,0.013902262417341866,nie
vix_ma4,0.013676760328607072,nie
gdp_growth_chg,0.013396270214546448,nie
hpi_growth_lag1,0.013044159432332203,nie
vix_chg,0.012402857647150874,nie
fed_funds_rate_chg,0.010188589595343087,nie
gdp_growth_lag2,0.009582576932297198,nie
vix,0.009207876232343365,nie
unemployment,0.009118280256297078,nie
unemployment_lag1,0.006417405519579911,nie
gdp_growth,0.005173745449091739,nie
gdp_growth_ma4,0.004465723927388719,nie
fed_funds_rate_ma4,0.0037463858542540456,nie
