date,nii_pred,nonii_pred,nie_pred,ppnr_pred,ppnr_ci_lo,ppnr_ci_hi,ci_width,scenario
2024Q1,9344.11870362077,2485.728124087342,9911.162545971367,1918.684281736745,1101.0,2721.0,1620.0,baseline
2024Q2,9367.110113247705,2562.0494363766015,9921.726219874112,2007.4333297501944,1183.0,2819.0,1636.0,baseline
2024Q3,9409.403174407644,2589.2993369701176,9918.3099564833,2080.3925548944626,1255.0,2921.0,1666.0,baseline
2024Q4,9401.205401805693,2627.9108436732554,9904.33661134474,2124.779634134209,1328.0,2943.0,1615.0,baseline
2025Q1,9404.37461279947,2634.8480425168646,9907.292470472099,2131.9301848442356,1311.0,2971.0,1660.0,baseline
2025Q2,9392.893407483127,2573.5827642450686,9913.621018107844,2052.8551536203504,1215.0,2870.0,1654.0,baseline
2025Q3,9394.896861342222,2575.9922810744574,9907.813063579728,2063.0760788369516,1240.0,2814.0,1573.0,baseline
2025Q4,9402.281446918052,2559.1373916680686,9921.49853797716,2039.9203006089592,1223.0,2832.0,1609.0,baseline
2026Q1,9613.522718870356,2613.6148638559257,9977.8900159984,2249.2475667278813,1442.0,3018.0,1576.0,baseline
2024Q1,9355.39253941521,2120.858856630091,9851.260370985616,1624.9910250596859,871.0,2418.0,1547.0,adverse
2024Q2,9374.693807563162,2295.278772933276,9819.423249634314,1850.5493308621244,1047.0,2641.0,1594.0,adverse
2024Q3,9370.988077390977,2170.671760736919,9877.499668116297,1664.160170011599,822.0,2498.0,1676.0,adverse
2024Q4,9354.634210234835,2116.7600605289704,9825.829016977827,1645.5652537859787,887.0,2415.0,1528.0,adverse
2025Q1,9373.848288733747,2106.4162640705927,9825.694251174418,1654.5703016299212,847.0,2436.0,1589.0,adverse
2025Q2,9373.39057196919,2200.9665446924364,9847.271160743872,1727.0859559177552,923.0,2529.0,1606.0,adverse
2025Q3,9398.61914466627,2352.850434953528,9810.914399058696,1940.555180561103,1128.0,2806.0,1678.0,adverse
2025Q4,9345.496159660343,2169.315561540425,9804.910819840183,1709.9009013605846,907.0,2531.0,1623.0,adverse
2026Q1,9382.568774365393,2268.0331648819683,9843.72871358352,1806.8732256638414,1038.0,2604.0,1566.0,adverse
2024Q1,9352.330528982491,2092.2986198588787,9845.786927383162,1598.8422214582079,807.0,2438.0,1631.0,severely_adverse
2024Q2,9407.514054688396,2147.7906621102056,9834.63958756822,1720.6651292303814,923.0,2484.0,1561.0,severely_adverse
2024Q3,9364.147643337723,2305.1022108902953,9850.309370992867,1818.940483235152,964.0,2620.0,1656.0,severely_adverse
2024Q4,9362.272388745778,2130.9010237665266,9816.632760099092,1676.5406524132122,896.0,2472.0,1576.0,severely_adverse
2025Q1,9374.2892051373,2190.7261308750267,9823.3332319793,1741.682104033025,939.0,2570.0,1631.0,severely_adverse
2025Q2,9371.413712685606,2104.2146548694514,9821.13183430905,1654.496533246007,873.0,2492.0,1619.0,severely_adverse
2025Q3,9371.102812072517,2106.6301295968306,9819.547670275535,1658.1852713938115,875.0,2419.0,1543.0,severely_adverse
2025Q4,9369.081199570875,2286.096222172493,9818.431794986776,1836.7456267565922,1035.0,2657.0,1623.0,severely_adverse
2026Q1,9351.888972232751,2234.1388454645903,9818.846911688728,1767.1809060086125,923.0,2538.0,1614.0,severely_adverse
